ID,Year,Competition,Round,GameTimeUTC,GameTimeLocal,HomeTeam,AwayTeam,Ground,Score,Result,HomeOdds,AwayOdds,TipstersPick,TipOutcome
4905,2013,HA,4,2013-04-21 06:40:00+00:00,2013-04-21 16:40:00+10:00,North Melbourne,Brisbane,Docklands,125-62,North Melbourne,1.266,4.26,North Melbourne,1
4906,2013,HA,5,2013-04-25 04:45:00+00:00,2013-04-25 14:45:00+10:00,Essendon,Collingwood,MCG,121-75,Essendon,2.29,1.704,Collingwood,0
4907,2013,HA,5,2013-04-25 07:50:00+00:00,2013-04-25 17:50:00+10:00,St Kilda,Sydney,Wellington,63-79,Sydney,5.83,1.172,Sydney,1
4908,2013,HA,5,2013-04-26 10:45:00+00:00,2013-04-26 20:45:00+10:00,Fremantle,Richmond,Subiaco,81-80,Fremantle,1.465,2.93,Fremantle,1
4909,2013,HA,5,2013-04-27 03:40:00+00:00,2013-04-27 13:40:00+10:00,GWS,Gold Coast,Manuka,104-148,Gold Coast,3.57,1.343,Gold Coast,1
4910,2013,HA,5,2013-04-27 06:40:00+00:00,2013-04-27 16:40:00+10:00,Carlton,Adelaide,MCG,115-83,Carlton,1.425,3.1,Carlton,1
4911,2013,HA,5,2013-04-27 09:40:00+00:00,2013-04-27 19:40:00+10:00,Western Bulldogs,Geelong,Docklands,86-107,Geelong,17.5,1.03,Geelong,1
4912,2013,HA,5,2013-04-27 09:40:00+00:00,2013-04-27 19:40:00+10:00,Port Adelaide,West Coast,Footy Park,84-79,Port Adelaide,1.98,1.925,Port Adelaide,1
4913,2013,HA,5,2013-04-28 05:15:00+00:00,2013-04-28 15:15:00+10:00,Brisbane,Melbourne,Gabba,122-94,Brisbane,1.196,5.31,Brisbane,1
4914,2013,HA,5,2013-04-28 06:40:00+00:00,2013-04-28 16:40:00+10:00,Hawthorn,North Melbourne,MCG,99-96,Hawthorn,1.166,5.98,Hawthorn,1
4915,2013,HA,6,2013-05-03 09:50:00+00:00,2013-05-03 19:50:00+10:00,Collingwood,St Kilda,Docklands,103-77,Collingwood,1.256,4.38,Collingwood,1
4916,2013,HA,6,2013-05-04 03:45:00+00:00,2013-05-04 13:45:00+10:00,Essendon,GWS,Docklands,120-81,Essendon,1.01,29.16,Essendon,1
4917,2013,HA,6,2013-05-04 04:10:00+00:00,2013-05-04 14:10:00+10:00,North Melbourne,Port Adelaide,Hobart,93-83,North Melbourne,1.408,3.18,North Melbourne,1
4918,2013,HA,6,2013-05-04 06:40:00+00:00,2013-05-04 16:40:00+10:00,Adelaide,Hawthorn,Footy Park,78-89,Hawthorn,5.04,1.21,Hawthorn,1
4919,2013,HA,6,2013-05-04 09:40:00+00:00,2013-05-04 19:40:00+10:00,Richmond,Geelong,MCG,87-131,Geelong,3.01,1.444,Geelong,1
4920,2013,HA,6,2013-05-04 09:40:00+00:00,2013-05-04 19:40:00+10:00,Gold Coast,Fremantle,Gold Coast,54-99,Fremantle,2.8,1.497,Fremantle,1
4921,2013,HA,6,2013-05-05 03:10:00+00:00,2013-05-05 13:10:00+10:00,Sydney,Brisbane,SCG,115-55,Sydney,1.071,10.75,Sydney,1
4922,2013,HA,6,2013-05-05 05:15:00+00:00,2013-05-05 15:15:00+10:00,Carlton,Melbourne,MCG,121-60,Carlton,1.02,22.73,Carlton,1
4923,2013,HA,6,2013-05-05 06:40:00+00:00,2013-05-05 16:40:00+10:00,West Coast,Western Bulldogs,Subiaco,137-67,West Coast,1.03,17.5,West Coast,1
4924,2013,HA,7,2013-05-10 09:50:00+00:00,2013-05-10 19:50:00+10:00,Geelong,Essendon,Docklands,113-85,Geelong,1.671,2.35,Geelong,1
4925,2013,HA,7,2013-05-11 03:45:00+00:00,2013-05-11 13:45:00+10:00,Port Adelaide,Richmond,Footy Park,73-114,Richmond,1.598,2.51,Port Adelaide,0
4926,2013,HA,7,2013-05-11 04:10:00+00:00,2013-05-11 14:10:00+10:00,Brisbane,West Coast,Gabba,82-108,West Coast,4.26,1.266,West Coast,1
4927,2013,HA,7,2013-05-11 06:40:00+00:00,2013-05-11 16:40:00+10:00,Western Bulldogs,North Melbourne,Docklands,97-151,North Melbourne,8.36,1.105,North Melbourne,1
4928,2013,HA,7,2013-05-11 09:40:00+00:00,2013-05-11 19:40:00+10:00,Hawthorn,Sydney,MCG,119-82,Hawthorn,1.497,2.8,Hawthorn,1
4929,2013,HA,7,2013-05-11 09:40:00+00:00,2013-05-11 19:40:00+10:00,Fremantle,Collingwood,Subiaco,100-73,Fremantle,2.75,1.512,Collingwood,0
4930,2013,HA,7,2013-05-12 03:10:00+00:00,2013-05-12 13:10:00+10:00,GWS,Adelaide,Showgrounds,52-187,Adelaide,11.25,1.066,Adelaide,1
4931,2013,HA,7,2013-05-12 06:40:00+00:00,2013-05-12 16:40:00+10:00,Melbourne,Gold Coast,MCG,54-114,Gold Coast,2.23,1.735,Gold Coast,1
4932,2013,HA,7,2013-05-13 09:40:00+00:00,2013-05-13 19:40:00+10:00,St Kilda,Carlton,Docklands,77-68,St Kilda,4.3,1.263,Carlton,0
4933,2013,HA,8,2013-05-17 10:40:00+00:00,2013-05-17 20:40:00+10:00,West Coast,North Melbourne,Subiaco,90-88,West Coast,1.414,3.15,West Coast,1
4934,2013,HA,8,2013-05-18 03:45:00+00:00,2013-05-18 13:45:00+10:00,Essendon,Brisbane,Docklands,86-96,Brisbane,1.055,12.5,Essendon,0
4935,2013,HA,8,2013-05-18 04:10:00+00:00,2013-05-18 14:10:00+10:00,Hawthorn,GWS,Launceston,140-57,Hawthorn,1.006,46.0,Hawthorn,1
4936,2013,HA,8,2013-05-18 06:40:00+00:00,2013-05-18 16:40:00+10:00,Gold Coast,Western Bulldogs,Gold Coast,93-61,Gold Coast,1.74,2.22,Gold Coast,1
4937,2013,HA,8,2013-05-18 09:40:00+00:00,2013-05-18 19:40:00+10:00,Collingwood,Geelong,MCG,102-96,Collingwood,3.56,1.344,Geelong,0
4938,2013,HA,8,2013-05-18 09:40:00+00:00,2013-05-18 19:40:00+10:00,Sydney,Fremantle,SCG,70-70,Draw,1.317,3.77,Sydney,1
4939,2013,HA,8,2013-05-19 03:10:00+00:00,2013-05-19 13:10:00+10:00,Carlton,Port Adelaide,Docklands,109-91,Carlton,1.414,3.15,Carlton,1
4940,2013,HA,8,2013-05-19 05:15:00+00:00,2013-05-19 15:15:00+10:00,Richmond,Melbourne,MCG,106-72,Richmond,1.044,14.5,Richmond,1
4941,2013,HA,8,2013-05-19 06:40:00+00:00,2013-05-19 16:40:00+10:00,Adelaide,St Kilda,Footy Park,87-47,Adelaide,1.384,3.31,Adelaide,1
4942,2013,HA,9,2013-05-24 09:50:00+00:00,2013-05-24 19:50:00+10:00,Collingwood,Sydney,MCG,55-102,Sydney,1.649,2.39,Collingwood,0
4943,2013,HA,9,2013-05-25 03:45:00+00:00,2013-05-25 13:45:00+10:00,Port Adelaide,Geelong,Footy Park,68-116,Geelong,4.93,1.217,Geelong,1
4944,2013,HA,9,2013-05-25 04:10:00+00:00,2013-05-25 14:10:00+10:00,GWS,West Coast,Showgrounds,55-155,West Coast,20.0,1.025,West Coast,1
4945,2013,HA,9,2013-05-25 06:40:00+00:00,2013-05-25 16:40:00+10:00,St Kilda,Western Bulldogs,Docklands,101-110,Western Bulldogs,1.192,5.39,St Kilda,0
4946,2013,HA,9,2013-05-25 09:40:00+00:00,2013-05-25 19:40:00+10:00,Brisbane,Carlton,Gabba,85-98,Carlton,2.91,1.469,Carlton,1
4947,2013,HA,9,2013-05-25 09:45:00+00:00,2013-05-25 19:45:00+10:00,Richmond,Essendon,MCG,62-91,Essendon,2.15,1.787,Essendon,1
4948,2013,HA,9,2013-05-26 03:10:00+00:00,2013-05-26 13:10:00+10:00,Hawthorn,Gold Coast,MCG,118-92,Hawthorn,1.025,20.0,Hawthorn,1
4949,2013,HA,9,2013-05-26 05:15:00+00:00,2013-05-26 15:15:00+10:00,North Melbourne,Adelaide,Docklands,124-125,Adelaide,1.436,3.05,North Melbourne,0
4950,2013,HA,9,2013-05-26 06:40:00+00:00,2013-05-26 16:40:00+10:00,Fremantle,Melbourne,Subiaco,130-40,Fremantle,1.025,20.0,Fremantle,1
4951,2013,HA,10,2013-05-31 09:50:00+00:00,2013-05-31 19:50:00+10:00,Brisbane,Collingwood,Gabba,51-100,Collingwood,4.36,1.257,Collingwood,1
4952,2013,HA,10,2013-06-01 03:45:00+00:00,2013-06-01 13:45:00+10:00,Carlton,GWS,Docklands,148-54,Carlton,1.018,19.52,Carlton,1
4953,2013,HA,10,2013-06-01 04:10:00+00:00,2013-06-01 14:10:00+10:00,Adelaide,Fremantle,Footy Park,59-66,Fremantle,1.877,2.03,Adelaide,0
4954,2013,HA,10,2013-06-01 06:40:00+00:00,2013-06-01 16:40:00+10:00,Sydney,Essendon,SCG,115-71,Sydney,1.574,2.57,Sydney,1
4955,2013,HA,10,2013-06-01 09:40:00+00:00,2013-06-01 19:40:00+10:00,Geelong,Gold Coast,Kardinia,123-71,Geelong,1.05,13.0,Geelong,1
4956,2013,HA,10,2013-06-01 09:40:00+00:00,2013-06-01 19:40:00+10:00,Western Bulldogs,Port Adelaide,Darwin,67-58,Western Bulldogs,2.78,1.505,Port Adelaide,0
4957,2013,HA,10,2013-06-02 05:15:00+00:00,2013-06-02 15:15:00+10:00,Melbourne,Hawthorn,MCG,48-143,Hawthorn,24.52,1.016,Hawthorn,1
4958,2013,HA,10,2013-06-02 06:40:00+00:00,2013-06-02 16:40:00+10:00,North Melbourne,St Kilda,Docklands,133-65,North Melbourne,1.222,4.85,North Melbourne,1
4959,2013,HA,10,2013-06-03 09:40:00+00:00,2013-06-03 19:40:00+10:00,West Coast,Richmond,Subiaco,62-103,Richmond,1.322,3.73,West Coast,0
4960,2013,HA,11,2013-06-07 09:50:00+00:00,2013-06-07 19:50:00+10:00,Essendon,Carlton,MCG,77-72,Essendon,1.877,2.03,Carlton,0
4961,2013,HA,11,2013-06-08 03:40:00+00:00,2013-06-08 13:40:00+10:00,GWS,Geelong,Showgrounds,98-157,Geelong,25.99,1.014,Geelong,1
4962,2013,HA,11,2013-06-08 06:40:00+00:00,2013-06-08 16:40:00+10:00,Adelaide,Sydney,Footy Park,50-127,Sydney,2.71,1.526,Sydney,1
4963,2013,HA,11,2013-06-08 09:40:00+00:00,2013-06-08 19:40:00+10:00,Gold Coast,North Melbourne,Gold Coast,66-51,Gold Coast,3.74,1.321,North Melbourne,0
4964,2013,HA,11,2013-06-09 06:40:00+00:00,2013-06-09 16:40:00+10:00,St Kilda,West Coast,Docklands,80-84,West Coast,2.86,1.48,West Coast,1
4965,2013,HA,11,2013-06-10 05:15:00+00:00,2013-06-10 15:15:00+10:00,Melbourne,Collingwood,MCG,39-122,Collingwood,16.0,1.037,Collingwood,1
4966,2013,HA,12,2013-06-14 09:50:00+00:00,2013-06-14 19:50:00+10:00,Carlton,Hawthorn,Docklands,87-102,Hawthorn,4.38,1.256,Hawthorn,1
4967,2013,HA,12,2013-06-15 03:40:00+00:00,2013-06-15 13:40:00+10:00,Richmond,Adelaide,MCG,110-72,Richmond,1.425,3.1,Richmond,1
4968,2013,HA,12,2013-06-15 06:40:00+00:00,2013-06-15 16:40:00+10:00,Fremantle,Brisbane,Subiaco,86-46,Fremantle,1.064,11.34,Fremantle,1
4969,2013,HA,12,2013-06-15 09:40:00+00:00,2013-06-15 19:40:00+10:00,Essendon,Gold Coast,Docklands,115-72,Essendon,1.158,6.2,Essendon,1
4970,2013,HA,12,2013-06-16 03:10:00+00:00,2013-06-16 13:10:00+10:00,GWS,Port Adelaide,Showgrounds,50-125,Port Adelaide,4.14,1.277,Port Adelaide,1
4971,2013,HA,12,2013-06-16 06:40:00+00:00,2013-06-16 16:40:00+10:00,Collingwood,Western Bulldogs,Docklands,99-65,Collingwood,1.136,6.9,Collingwood,1
4972,2013,HA,13,2013-06-21 09:50:00+00:00,2013-06-21 19:50:00+10:00,Hawthorn,West Coast,Docklands,123-103,Hawthorn,1.195,5.33,Hawthorn,1
4973,2013,HA,13,2013-06-22 03:40:00+00:00,2013-06-22 13:40:00+10:00,Port Adelaide,Sydney,Footy Park,72-54,Port Adelaide,9.41,1.088,Sydney,0
4974,2013,HA,13,2013-06-22 06:40:00+00:00,2013-06-22 16:40:00+10:00,St Kilda,Melbourne,MCG,104-69,St Kilda,1.155,6.3,St Kilda,1
4975,2013,HA,13,2013-06-22 09:40:00+00:00,2013-06-22 19:40:00+10:00,Western Bulldogs,Richmond,Docklands,61-121,Richmond,8.23,1.107,Richmond,1
4976,2013,HA,13,2013-06-23 05:20:00+00:00,2013-06-23 15:20:00+10:00,Fremantle,North Melbourne,Subiaco,67-29,Fremantle,1.377,3.35,Fremantle,1
4977,2013,HA,13,2013-06-23 06:40:00+00:00,2013-06-23 16:40:00+10:00,Brisbane,Geelong,Gabba,103-98,Brisbane,5.87,1.17,Geelong,0
4978,2013,HA,14,2013-06-27 10:10:00+00:00,2013-06-27 20:10:00+10:00,West Coast,Essendon,Subiaco,91-98,Essendon,2.26,1.719,West Coast,0
4979,2013,HA,14,2013-06-28 09:50:00+00:00,2013-06-28 19:50:00+10:00,Sydney,Carlton,SCG,65-43,Sydney,1.446,3.0,Sydney,1
4980,2013,HA,14,2013-06-29 03:40:00+00:00,2013-06-29 13:40:00+10:00,Gold Coast,Adelaide,Gold Coast,83-111,Adelaide,2.57,1.574,Adelaide,1
4981,2013,HA,14,2013-06-29 06:40:00+00:00,2013-06-29 16:40:00+10:00,Port Adelaide,Collingwood,Footy Park,86-51,Port Adelaide,3.15,1.414,Collingwood,0
4982,2013,HA,14,2013-06-29 09:40:00+00:00,2013-06-29 19:40:00+10:00,Geelong,Fremantle,Kardinia,85-44,Geelong,1.361,3.45,Geelong,1
4983,2013,HA,14,2013-06-29 09:40:00+00:00,2013-06-29 19:40:00+10:00,Melbourne,Western Bulldogs,MCG,103-100,Melbourne,4.18,1.273,Western Bulldogs,0
4984,2013,HA,14,2013-06-30 03:10:00+00:00,2013-06-30 13:10:00+10:00,Hawthorn,Brisbane,Launceston,143-85,Hawthorn,1.09,9.16,Hawthorn,1
4985,2013,HA,14,2013-06-30 05:15:00+00:00,2013-06-30 15:15:00+10:00,North Melbourne,GWS,Docklands,130-44,North Melbourne,1.012,27.22,North Melbourne,1
4986,2013,HA,14,2013-06-30 06:40:00+00:00,2013-06-30 16:40:00+10:00,Richmond,St Kilda,MCG,119-55,Richmond,1.181,5.61,Richmond,1
4987,2013,HA,15,2013-07-05 09:50:00+00:00,2013-07-05 19:50:00+10:00,Carlton,Collingwood,MCG,77-118,Collingwood,1.584,2.54,Carlton,0
4988,2013,HA,15,2013-07-06 03:45:00+00:00,2013-07-06 13:45:00+10:00,GWS,Western Bulldogs,Manuka,83-87,Western Bulldogs,4.77,1.227,Western Bulldogs,1
4989,2013,HA,15,2013-07-06 04:10:00+00:00,2013-07-06 14:10:00+10:00,North Melbourne,Richmond,Docklands,128-66,North Melbourne,2.62,1.555,Richmond,0
4990,2013,HA,15,2013-07-06 06:40:00+00:00,2013-07-06 16:40:00+10:00,Brisbane,Gold Coast,Gabba,116-83,Brisbane,1.338,3.6,Brisbane,1
4991,2013,HA,15,2013-07-06 09:40:00+00:00,2013-07-06 19:40:00+10:00,Geelong,Hawthorn,MCG,82-72,Geelong,2.52,1.595,Hawthorn,0
4992,2013,HA,15,2013-07-06 09:40:00+00:00,2013-07-06 19:40:00+10:00,Adelaide,West Coast,Footy Park,69-75,West Coast,1.581,2.55,Adelaide,0
4993,2013,HA,15,2013-07-07 03:10:00+00:00,2013-07-07 13:10:00+10:00,Melbourne,Sydney,MCG,85-116,Sydney,16.0,1.038,Sydney,1
4994,2013,HA,15,2013-07-07 05:15:00+00:00,2013-07-07 15:15:00+10:00,Fremantle,St Kilda,Subiaco,100-70,Fremantle,1.062,11.75,Fremantle,1
4995,2013,HA,15,2013-07-07 06:40:00+00:00,2013-07-07 16:40:00+10:00,Essendon,Port Adelaide,Docklands,118-88,Essendon,1.35,3.52,Essendon,1
4996,2013,HA,16,2013-07-12 09:50:00+00:00,2013-07-12 19:50:00+10:00,Collingwood,Adelaide,MCG,111-84,Collingwood,1.172,5.83,Collingwood,1
4997,2013,HA,16,2013-07-13 03:45:00+00:00,2013-07-13 13:45:00+10:00,Port Adelaide,Hawthorn,Footy Park,79-124,Hawthorn,3.46,1.359,Hawthorn,1
4998,2013,HA,16,2013-07-13 04:10:00+00:00,2013-07-13 14:10:00+10:00,Geelong,Melbourne,Kardinia,98-30,Geelong,1.013,22.22,Geelong,1
4999,2013,HA,16,2013-07-13 06:40:00+00:00,2013-07-13 16:40:00+10:00,Richmond,Gold Coast,Cairns,53-44,Richmond,1.238,4.61,Richmond,1
5000,2013,HA,16,2013-07-13 09:40:00+00:00,2013-07-13 19:40:00+10:00,Carlton,St Kilda,Docklands,110-74,Carlton,1.377,3.35,Carlton,1
5001,2013,HA,16,2013-07-13 09:40:00+00:00,2013-07-13 19:40:00+10:00,Brisbane,North Melbourne,Gabba,117-105,Brisbane,2.97,1.454,North Melbourne,0
5002,2013,HA,16,2013-07-14 03:10:00+00:00,2013-07-14 13:10:00+10:00,Sydney,GWS,SCG,171-42,Sydney,1.011,28.27,Sydney,1
5003,2013,HA,16,2013-07-14 05:15:00+00:00,2013-07-14 15:15:00+10:00,Western Bulldogs,Essendon,Docklands,90-121,Essendon,8.04,1.111,Essendon,1
5004,2013,HA,16,2013-07-14 06:40:00+00:00,2013-07-14 16:40:00+10:00,West Coast,Fremantle,Subiaco,93-121,Fremantle,2.93,1.462,Fremantle,1
5005,2013,HA,17,2013-07-19 09:50:00+00:00,2013-07-19 19:50:00+10:00,North Melbourne,Carlton,Docklands,108-109,Carlton,1.645,2.4,Carlton,1
5006,2013,HA,17,2013-07-20 03:45:00+00:00,2013-07-20 13:45:00+10:00,Hawthorn,Western Bulldogs,Launceston,95-76,Hawthorn,1.035,15.5,Hawthorn,1
5007,2013,HA,17,2013-07-20 04:10:00+00:00,2013-07-20 14:10:00+10:00,GWS,Essendon,Showgrounds,77-116,Essendon,22.22,1.013,Essendon,1
5008,2013,HA,17,2013-07-20 06:40:00+00:00,2013-07-20 16:40:00+10:00,Gold Coast,Collingwood,Gold Coast,85-78,Gold Coast,5.18,1.202,Collingwood,0
5009,2013,HA,17,2013-07-20 09:40:00+00:00,2013-07-20 19:40:00+10:00,St Kilda,Port Adelaide,Docklands,92-97,Port Adelaide,2.16,1.781,Port Adelaide,1
5010,2013,HA,17,2013-07-20 09:40:00+00:00,2013-07-20 19:40:00+10:00,Melbourne,Brisbane,Darwin,75-94,Brisbane,4.05,1.285,Brisbane,1
5011,2013,HA,17,2013-07-21 03:10:00+00:00,2013-07-21 13:10:00+10:00,Richmond,Fremantle,MCG,84-57,Richmond,1.719,2.26,Richmond,1
5012,2013,HA,17,2013-07-21 05:15:00+00:00,2013-07-21 15:15:00+10:00,Adelaide,Geelong,Footy Park,94-92,Adelaide,4.81,1.224,Geelong,0
5013,2013,HA,17,2013-07-21 06:40:00+00:00,2013-07-21 16:40:00+10:00,West Coast,Sydney,Subiaco,79-113,Sydney,2.75,1.512,Sydney,1
5014,2013,HA,18,2013-07-26 09:50:00+00:00,2013-07-26 19:50:00+10:00,Essendon,Hawthorn,Docklands,87-143,Hawthorn,3.6,1.338,Hawthorn,1
5015,2013,HA,18,2013-07-27 03:45:00+00:00,2013-07-27 13:45:00+10:00,Gold Coast,Carlton,Gold Coast,77-120,Carlton,3.22,1.4,Carlton,1
5016,2013,HA,18,2013-07-27 04:10:00+00:00,2013-07-27 14:10:00+10:00,Melbourne,North Melbourne,Docklands,28-150,North Melbourne,16.1,1.036,North Melbourne,1
5017,2013,HA,18,2013-07-27 06:40:00+00:00,2013-07-27 16:40:00+10:00,Collingwood,GWS,MCG,106-66,Collingwood,1.013,22.22,Collingwood,1
5018,2013,HA,18,2013-07-27 09:40:00+00:00,2013-07-27 19:40:00+10:00,Geelong,St Kilda,Kardinia,137-36,Geelong,1.086,9.5,Geelong,1
5019,2013,HA,18,2013-07-27 09:40:00+00:00,2013-07-27 19:40:00+10:00,Fremantle,Adelaide,Subiaco,75-53,Fremantle,1.303,3.88,Fremantle,1
5020,2013,HA,18,2013-07-28 03:10:00+00:00,2013-07-28 13:10:00+10:00,Port Adelaide,Brisbane,Footy Park,71-62,Port Adelaide,1.363,3.44,Port Adelaide,1
5021,2013,HA,18,2013-07-28 05:15:00+00:00,2013-07-28 15:15:00+10:00,Western Bulldogs,West Coast,Docklands,111-89,Western Bulldogs,2.44,1.625,West Coast,0
5022,2013,HA,18,2013-07-28 06:40:00+00:00,2013-07-28 16:40:00+10:00,Sydney,Richmond,SCG,110-63,Sydney,1.317,3.77,Sydney,1
5023,2013,HA,19,2013-08-02 09:50:00+00:00,2013-08-02 19:50:00+10:00,North Melbourne,Geelong,Docklands,96-86,North Melbourne,3.51,1.352,Geelong,0
5024,2013,HA,19,2013-08-03 03:45:00+00:00,2013-08-03 13:45:00+10:00,GWS,Melbourne,Showgrounds,124-87,GWS,1.645,2.4,GWS,1
5025,2013,HA,19,2013-08-03 04:10:00+00:00,2013-08-03 14:10:00+10:00,Hawthorn,Richmond,MCG,66-107,Richmond,1.248,4.47,Hawthorn,0
5026,2013,HA,19,2013-08-03 06:40:00+00:00,2013-08-03 16:40:00+10:00,West Coast,Gold Coast,Subiaco,130-113,West Coast,1.526,2.71,West Coast,1
